"","term","gene","human","mouse"
"266","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"KIAA0100",NA
"267","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"KIAA0101",NA
"268","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"KIAA0179",NA
"269","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"KIAA0859",NA
"270","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"KIAA0947",NA
"271","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"KIAA0971",NA
"272","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"KIAA0980",NA
"273","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"KIAA1008",NA
"274","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"KIAA1333/G2E3",NA
"275","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"KIAA1524",NA
"276","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Kif18a","KIF18A","Kif18a"
"277","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Kif20a","KIF20A","Kif20a"
"278","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Kif22","KIF22","Kif22"
"279","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Kif23","KIF23","Kif23"
"280","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Kif5b","KIF5B","Kif5b"
"281","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Kifc1","KIFC1","Kifc1"
"282","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Kntc1","KNTC1","Kntc1"
"283","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Kpna2","KPNA2","Kpna2"
"284","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Larp4","LARP4","Larp4"
"285","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Lbr","LBR","Lbr"
"286","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Lig1","LIG1","Lig1"
"287","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Limd1","LIMD1","Limd1"
"288","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Lipg","LIPG","Lipg"
"289","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"LOC126917",NA
"290","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"LOC201175",NA
"291","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"LOC202051",NA
"292","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"LOC203547",NA
"293","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"LOC340286",NA
"294","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"LOC387787",NA
"295","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"LOC643836/ZFP62",NA
"296","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"LOC644958",NA
"297","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"LOC91461",NA
"298","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Lpp","LPP","Lpp"
"299","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Lrat","LRAT","Lrat"
"300","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Lrig1","LRIG1","Lrig1"
"301","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Lsm2","LSM2","Lsm2"
"302","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Lsm5","LSM5","Lsm5"
"303","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Luc7l","LUC7L","Luc7l"
"304","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Lypla1","LYPLA1","Lypla1"
"305","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Matn2","MATN2","Matn2"
"306","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Matr3","MATR3","Matr3"
"307","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mbnl3","MBNL3","Mbnl3"
"308","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mcm2","MCM2","Mcm2"
"309","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mcm3","MCM3","Mcm3"
"310","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mcm4","MCM4","Mcm4"
"311","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mcm5","MCM5","Mcm5"
"312","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mcm6","MCM6","Mcm6"
"313","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mcm7","MCM7","Mcm7"
"314","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Meis2","MEIS2","Meis2"
"315","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Melk","MELK","Melk"
"316","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"MGC11266",NA
"317","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mki67","MKI67","Mki67"
"318","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mre11a","MRE11A","Mre11a"
"319","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mrpl1","MRPL1","Mrpl1"
"320","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mrpl13","MRPL13","Mrpl13"
"321","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mrpl3","MRPL3","Mrpl3"
"322","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mrps22","MRPS22","Mrps22"
"323","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Msh2","MSH2","Msh2"
"324","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Msh3","MSH3","Msh3"
"325","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Msh6","MSH6","Msh6"
"326","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Msi2","MSI2","Msi2"
"327","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mtbp","MTBP","Mtbp"
"328","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mtf2","MTF2","Mtf2"
"329","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mthfd1","MTHFD1","Mthfd1"
"330","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Mtrr","MTRR","Mtrr"
"331","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Myb","MYB","Myb"
"332","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Naca","NACA","Naca"
"333","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Nap1l1","NAP1L1","Nap1l1"
"334","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"NARG1",NA
"335","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Nasp","NASP","Nasp"
"336","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ncl","NCL","Ncl"
"337","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ncoa4","NCOA4","Ncoa4"
"338","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ndufaf1","NDUFAF1","Ndufaf1"
"339","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"NEUROG3",NA
"340","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Nfix","NFIX","Nfix"
"341","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Nnt","NNT","Nnt"
"342","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"NOL5A",NA
"343","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Nolc1","NOLC1","Nolc1"
"344","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"NOP5/NOP58",NA
"345","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Notch1","NOTCH1","Notch1"
"346","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Notch2","NOTCH2","Notch2"
"347","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Nrip1","NRIP1","Nrip1"
"348","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Nrm","NRM","Nrm"
"349","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"NSBP1",NA
"350","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Nup155","NUP155","Nup155"
"351","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Nup210","NUP210","Nup210"
"352","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Nup62","NUP62","Nup62"
"353","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Nutf2","NUTF2","Nutf2"
"354","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Nxt1","NXT1","Nxt1"
"355","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"NY-SAR-48",NA
"356","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"ORC6L",NA
"357","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"OTC",NA
"358","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","P2ry6","P2RY6","P2ry6"
"359","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pa2g4","PA2G4","Pa2g4"
"360","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pabpc1","PABPC1","Pabpc1"
"361","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Paics","PAICS","Paics"
"362","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Papola","PAPOLA","Papola"
"363","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Papss2","PAPSS2","Papss2"
"364","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"PCDH8",NA
"365","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"PCID1",NA
"366","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pcna","PCNA","Pcna"
"367","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pecr","PECR","Pecr"
"368","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pfkp","PFKP","Pfkp"
"369","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Phgdh","PHGDH","Phgdh"
"370","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pik3r1","PIK3R1","Pik3r1"
"371","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pitrm1","PITRM1","Pitrm1"
"372","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Piwil2","PIWIL2","Piwil2"
"373","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pla2g4a","PLA2G4A","Pla2g4a"
"374","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pms1","PMS1","Pms1"
"375","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pnn","PNN","Pnn"
"376","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"POLA",NA
"377","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Polb","POLB","Polb"
"378","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pold1","POLD1","Pold1"
"379","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pold2","POLD2","Pold2"
"380","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pole","POLE","Pole"
"381","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pole2","POLE2","Pole2"
"382","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Polr1b","POLR1B","Polr1b"
"383","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pparg","PPARG","Pparg"
"384","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ppat","PPAT","Ppat"
"385","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ppid","PPID","Ppid"
"386","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ppp1cb","PPP1CB","Ppp1cb"
"387","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ppp2ca","PPP2CA","Ppp2ca"
"388","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ppp2r3a","PPP2R3A","Ppp2r3a"
"389","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ppp2r5e","PPP2R5E","Ppp2r5e"
"390","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pqbp1","PQBP1","Pqbp1"
"391","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Prc1","PRC1","Prc1"
"392","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Prdx4","PRDX4","Prdx4"
"393","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"PRELP",NA
"394","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Prim1","PRIM1","Prim1"
"395","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"PRIM2A",NA
"396","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Prpf4","PRPF4","Prpf4"
"397","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Prps2","PRPS2","Prps2"
"398","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"PRSS7",NA
"399","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"PSF1/GINS1",NA
"400","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Psma1","PSMA1","Psma1"
"401","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Psma6","PSMA6","Psma6"
"402","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Psmb7","PSMB7","Psmb7"
"403","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Psmc3ip","PSMC3IP","Psmc3ip"
"404","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Pten","PTEN","Pten"
"405","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"PWP2H",NA
"406","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rab1a","RAB1A","Rab1a"
"407","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Racgap1","RACGAP1","Racgap1"
"408","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rad1","RAD1","Rad1"
"409","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rad21","RAD21","Rad21"
"410","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rad51","RAD51","Rad51"
"411","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rad51ap1","RAD51AP1","Rad51ap1"
"412","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rad54l","RAD54L","Rad54l"
"413","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rasa3","RASA3","Rasa3"
"414","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rb1cc1","RB1CC1","Rb1cc1"
"415","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rbbp4","RBBP4","Rbbp4"
"416","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rbmxl1","RBMXL1","Rbmxl1"
"417","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"REG1A",NA
"418","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"REG4",NA
"419","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rfc1","RFC1","Rfc1"
"420","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rfc2","RFC2","Rfc2"
"421","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rfc3","RFC3","Rfc3"
"422","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rfc4","RFC4","Rfc4"
"423","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"RFP/TRIM27",NA
"424","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"RGC32",NA
"425","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rgs12","RGS12","Rgs12"
"426","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rhobtb3","RHOBTB3","Rhobtb3"
"427","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rnf138","RNF138","Rnf138"
"428","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rock1","ROCK1","Rock1"
"429","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ror2","ROR2","Ror2"
"430","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"RP11-19J3.3",NA
"431","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rpa1","RPA1","Rpa1"
"432","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rpgr","RPGR","Rpgr"
"433","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rpl12","RPL12","Rpl12"
"434","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rpl3","RPL3","Rpl3"
"435","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rpl32","RPL32","Rpl32"
"436","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rps24","RPS24","Rps24"
"437","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rps6ka6","RPS6KA6","Rps6ka6"
"438","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rrm1","RRM1","Rrm1"
"439","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rrm2","RRM2","Rrm2"
"440","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rrs1","RRS1","Rrs1"
"441","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ruvbl1","RUVBL1","Ruvbl1"
"442","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Rwdd3","RWDD3","Rwdd3"
"443","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SAS10",NA
"444","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Scarb1","SCARB1","Scarb1"
"445","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Scoc","SCOC","Scoc"
"446","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sdc2","SDC2","Sdc2"
"447","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sdc4","SDC4","Sdc4"
"448","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SECTM1",NA
"449","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sema5a","SEMA5A","Sema5a"
"450","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SERPINE2",NA
"451","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Set","SET","Set"
"452","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sf3a3","SF3A3","Sf3a3"
"453","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sf3b1","SF3B1","Sf3b1"
"454","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sfpq","SFPQ","Sfpq"
"455","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SFRP1",NA
"456","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sfrp5","SFRP5","Sfrp5"
"457","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SFRS1",NA
"458","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SFRS2",NA
"459","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SFRS3",NA
"460","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SFRS6",NA
"461","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SFRS7",NA
"462","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sgpp1","SGPP1","Sgpp1"
"463","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sh3bgrl","SH3BGRL","Sh3bgrl"
"464","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Shcbp1","SHCBP1","Shcbp1"
"465","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Shmt1","SHMT1","Shmt1"
"466","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Skp2","SKP2","Skp2"
"467","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Slbp","SLBP","Slbp"
"468","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Slc12a2","SLC12A2","Slc12a2"
"469","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SLC13A1",NA
"470","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Slc18a2","SLC18A2","Slc18a2"
"471","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Slc19a1","SLC19A1","Slc19a1"
"472","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Slc25a5","SLC25A5","Slc25a5"
"473","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Slc37a2","SLC37A2","Slc37a2"
"474","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Slc40a1","SLC40A1","Slc40a1"
"475","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Slc4a7","SLC4A7","Slc4a7"
"476","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Smarca5","SMARCA5","Smarca5"
"477","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SMC1L1",NA
"478","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SMC6L1",NA
"479","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Smoc2","SMOC2","Smoc2"
"480","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Smyd2","SMYD2","Smyd2"
"481","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Smyd4","SMYD4","Smyd4"
"482","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Smyd5","SMYD5","Smyd5"
"483","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Snrpb2","SNRPB2","Snrpb2"
"484","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Snrpd1","SNRPD1","Snrpd1"
"485","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Snx5","SNX5","Snx5"
"486","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sos2","SOS2","Sos2"
"487","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sox4","SOX4","Sox4"
"488","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sox9","SOX9","Sox9"
"489","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sp1","SP1","Sp1"
"490","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sp3","SP3","Sp3"
"491","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Spag5","SPAG5","Spag5"
"492","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Sppl2a","SPPL2A","Sppl2a"
"493","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SQRDL",NA
"494","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SR140",NA
"495","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Srrm1","SRRM1","Srrm1"
"496","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ssb","SSB","Ssb"
"497","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ssrp1","SSRP1","Ssrp1"
"498","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Stmn1","STMN1","Stmn1"
"499","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Strap","STRAP","Strap"
"500","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Styx","STYX","Styx"
"501","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"SYCP3",NA
"502","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Syt11","SYT11","Syt11"
"503","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Taf9","TAF9","Taf9"
"504","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Tcf12","TCF12","Tcf12"
"505","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"TCF19,",NA
